folhas_amareladas,folhas_marrons,queda_folhas,manchas_escuras,pragas_visiveis,folhas_murchas,teias_aranha,crescimento_lento,folhas_deformadas,caule_mole,brotos_queimados,folhas_palidas,mofo_superficial,raizes_expostas,folhas_com_furos,diagnostico
1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,Excesso de água ou falta de nutrientes
1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,Excesso de água ou falta de nutrientes
0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Excesso de água ou falta de nutrientes
1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,Excesso de água ou falta de nutrientes
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Excesso de água ou falta de nutrientes
1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,Excesso de água ou falta de nutrientes
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Excesso de água ou falta de nutrientes
1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,Excesso de água ou falta de nutrientes
0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,Excesso de água ou falta de nutrientes
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,Excesso de água ou falta de nutrientes
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Excesso de água ou falta de nutrientes
0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,Excesso de água ou falta de nutrientes
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Excesso de água ou falta de nutrientes
1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,Excesso de água ou falta de nutrientes
1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,Excesso de água ou falta de nutrientes
0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,Excesso de água ou falta de nutrientes
0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,Excesso de água ou falta de nutrientes
1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,Excesso de água ou falta de nutrientes
0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,Excesso de água ou falta de nutrientes
1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Excesso de água ou falta de nutrientes
1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,Falta de água ou baixa umidade
1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,Falta de água ou baixa umidade
0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,Falta de água ou baixa umidade
1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,Falta de água ou baixa umidade
0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,Falta de água ou baixa umidade
0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,Falta de água ou baixa umidade
1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,Falta de água ou baixa umidade
0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,Falta de água ou baixa umidade
1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,Falta de água ou baixa umidade
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Falta de água ou baixa umidade
0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,Falta de água ou baixa umidade
1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Falta de água ou baixa umidade
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Falta de água ou baixa umidade
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Falta de água ou baixa umidade
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Falta de água ou baixa umidade
0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,Falta de água ou baixa umidade
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Falta de água ou baixa umidade
0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,Falta de água ou baixa umidade
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Falta de água ou baixa umidade
0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,Falta de água ou baixa umidade
1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,Mudança ambiental ou estresse
0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Mudança ambiental ou estresse
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Mudança ambiental ou estresse
1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Mudança ambiental ou estresse
1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,Mudança ambiental ou estresse
0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,Mudança ambiental ou estresse
1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,Mudança ambiental ou estresse
1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,Mudança ambiental ou estresse
0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,Mudança ambiental ou estresse
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Mudança ambiental ou estresse
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Mudança ambiental ou estresse
0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Mudança ambiental ou estresse
1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,Mudança ambiental ou estresse
0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Mudança ambiental ou estresse
0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,Mudança ambiental ou estresse
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Mudança ambiental ou estresse
0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,Mudança ambiental ou estresse
0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,Mudança ambiental ou estresse
0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,Mudança ambiental ou estresse
0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,Mudança ambiental ou estresse
0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,Fungo ou doença fúngica
1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,Fungo ou doença fúngica
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,Fungo ou doença fúngica
0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,Fungo ou doença fúngica
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Fungo ou doença fúngica
0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Fungo ou doença fúngica
1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Fungo ou doença fúngica
0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,Fungo ou doença fúngica
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Fungo ou doença fúngica
0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,Fungo ou doença fúngica
0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,Fungo ou doença fúngica
0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,Fungo ou doença fúngica
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Fungo ou doença fúngica
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,Fungo ou doença fúngica
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Fungo ou doença fúngica
1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,Fungo ou doença fúngica
0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,Fungo ou doença fúngica
0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,Fungo ou doença fúngica
1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,Fungo ou doença fúngica
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Fungo ou doença fúngica
0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,Infestação de pragas
0,1,1,0,1,1,1,0,1,0,0,1,0,0,1,Infestação de pragas
0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,Infestação de pragas
0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,Infestação de pragas
1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,Infestação de pragas
0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,Infestação de pragas
0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,Infestação de pragas
0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,Infestação de pragas
0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,Infestação de pragas
0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,Infestação de pragas
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,Infestação de pragas
1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,Infestação de pragas
1,1,0,0,1,0,1,0,0,0,0,0,1,0,1,Infestação de pragas
0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,Infestação de pragas
0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,Infestação de pragas
0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,Infestação de pragas
0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,Infestação de pragas
0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,Infestação de pragas
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Infestação de pragas
0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,Infestação de pragas
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Falta de água ou raízes comprometidas
0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,Falta de água ou raízes comprometidas
1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,Falta de água ou raízes comprometidas
0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,Falta de água ou raízes comprometidas
0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,Falta de água ou raízes comprometidas
0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,Falta de água ou raízes comprometidas
1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Falta de água ou raízes comprometidas
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Falta de água ou raízes comprometidas
1,1,1,0,0,0,0,1,0,1,1,1,0,1,0,Falta de água ou raízes comprometidas
0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,Falta de água ou raízes comprometidas
0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,Falta de água ou raízes comprometidas
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Falta de água ou raízes comprometidas
0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,Falta de água ou raízes comprometidas
0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,Falta de água ou raízes comprometidas
0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,Falta de água ou raízes comprometidas
1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,Falta de água ou raízes comprometidas
1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,Falta de água ou raízes comprometidas
1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,Falta de água ou raízes comprometidas
0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,Falta de água ou raízes comprometidas
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Falta de água ou raízes comprometidas
1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,Ácaros (aranhas vermelhas)
1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,Ácaros (aranhas vermelhas)
1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,Ácaros (aranhas vermelhas)
0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,Ácaros (aranhas vermelhas)
0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,Ácaros (aranhas vermelhas)
0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,Ácaros (aranhas vermelhas)
1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Ácaros (aranhas vermelhas)
1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,Ácaros (aranhas vermelhas)
1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,Ácaros (aranhas vermelhas)
1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Ácaros (aranhas vermelhas)
0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,Ácaros (aranhas vermelhas)
1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,Ácaros (aranhas vermelhas)
0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,Ácaros (aranhas vermelhas)
1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,Ácaros (aranhas vermelhas)
0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,Ácaros (aranhas vermelhas)
0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,Ácaros (aranhas vermelhas)
1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,Ácaros (aranhas vermelhas)
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Ácaros (aranhas vermelhas)
0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,Ácaros (aranhas vermelhas)
0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,Ácaros (aranhas vermelhas)
1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,Falta de luz ou nutrientes
0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,Falta de luz ou nutrientes
0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,Falta de luz ou nutrientes
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,Falta de luz ou nutrientes
1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,Falta de luz ou nutrientes
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,Falta de luz ou nutrientes
1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,Falta de luz ou nutrientes
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Falta de luz ou nutrientes
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Falta de luz ou nutrientes
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Falta de luz ou nutrientes
1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,Falta de luz ou nutrientes
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Falta de luz ou nutrientes
1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,Falta de luz ou nutrientes
0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,Falta de luz ou nutrientes
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Falta de luz ou nutrientes
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Falta de luz ou nutrientes
1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,Falta de luz ou nutrientes
1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,Falta de luz ou nutrientes
1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Falta de luz ou nutrientes
1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,Falta de luz ou nutrientes
0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,Insetos ou deficiência nutricional
1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Insetos ou deficiência nutricional
0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,Insetos ou deficiência nutricional
0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,Insetos ou deficiência nutricional
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Insetos ou deficiência nutricional
1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,Insetos ou deficiência nutricional
1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,Insetos ou deficiência nutricional
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Insetos ou deficiência nutricional
0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,Insetos ou deficiência nutricional
1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,Insetos ou deficiência nutricional
1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,Insetos ou deficiência nutricional
0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,Insetos ou deficiência nutricional
1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,Insetos ou deficiência nutricional
0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,Insetos ou deficiência nutricional
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Insetos ou deficiência nutricional
0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,Insetos ou deficiência nutricional
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Insetos ou deficiência nutricional
1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Insetos ou deficiência nutricional
1,1,0,0,0,1,0,1,1,0,0,1,0,0,1,Insetos ou deficiência nutricional
1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,Insetos ou deficiência nutricional
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Apodrecimento por excesso de água
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Apodrecimento por excesso de água
0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,Apodrecimento por excesso de água
